Variable;Question;Value;Count;Total;;
demo_gender;What gender do you identify as?;Female;14;;;
demo_gender;What gender do you identify as?;Male;7;;;
demo_gender;What gender do you identify as?;Prefer not to say;1;22;;
demo_age;To which age group do you belong?;18-24;19;;;
demo_age;To which age group do you belong?;0 > 65;1;;;
demo_age;To which age group do you belong?;25-34;1;21;;
demo_domain;What is your domain?;Facility;22;1;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 1;8;;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 1,Year 2,Year 3,Year 4 (or more);1;;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 1,Year 3,Year 4 (or more);1;;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 1,Year 4 (or more);1;;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 2;2;;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 3;2;;;
demo_year_study;Which year(s) are you currently studying/teaching?;Year 4 (or more);7;22;;
demo_ai_know;How would you rate your current knowledge about AI?;Neither good nor bad;11;;;
demo_ai_know;How would you rate your current knowledge about AI?;Somewhat good;8;;;
demo_ai_know;How would you rate your current knowledge about AI?;Somewhat bad;3;22;;
ml_dl_famil;I am familiar with Machine Learning and Deep Learning technologies;Somewhat disagree;8;;;
ml_dl_famil;I am familiar with Machine Learning and Deep Learning technologies;Somewhat agree;6;;;
ml_dl_famil;I am familiar with Machine Learning and Deep Learning technologies;Neither agree nor disagree;1;;;
ml_dl_famil;I am familiar with Machine Learning and Deep Learning technologies;Strongly agree;1;;;
ml_dl_famil;I am familiar with Machine Learning and Deep Learning technologies;Strongly disagree;1;17;;
ml_dl_famil;I am familiar with Machine Learning and Deep Learning technologies;NA's;5;;;
aware_dom;I am aware of AI being used in my domain;Somewhat agree;7;;;
aware_dom;I am aware of AI being used in my domain;Somewhat disagree;5;;;
aware_dom;I am aware of AI being used in my domain;Neither agree nor disagree;3;;;
aware_dom;I am aware of AI being used in my domain;Strongly agree;1;;;
aware_dom;I am aware of AI being used in my domain;Strongly disagree;1;17;;
aware_dom;I am aware of AI being used in my domain;NA's;5;;;
ai_courses;I have taken courses related to AI in my programme;Strongly disagree;7;;;
ai_courses;I have taken courses related to AI in my programme;Somewhat disagree;5;;;
ai_courses;I have taken courses related to AI in my programme;Neither agree nor disagree;3;;;
ai_courses;I have taken courses related to AI in my programme;Somewhat agree;1;;;
ai_courses;I have taken courses related to AI in my programme;Strongly agree;1;17;;
ai_courses;I have taken courses related to AI in my programme;NA's;5;;;
aware_everyday;Are you aware that many everyday devices and applications already use AI?;Somewhat agree;15;;;
aware_everyday;Are you aware that many everyday devices and applications already use AI?;Strongly agree;2;17;;
aware_everyday;Are you aware that many everyday devices and applications already use AI?;NA's;5;;;
used_ai;I have used AI in my domain before;Somewhat disagree;5;;;
used_ai;I have used AI in my domain before;Somewhat agree;4;;;
used_ai;I have used AI in my domain before;Strongly agree;4;;;
used_ai;I have used AI in my domain before;Neither agree nor disagree;3;;;
used_ai;I have used AI in my domain before;Strongly disagree;1;17;;
used_ai;I have used AI in my domain before;NA's;5;;;
att_pos_1;There are many beneficial applications of AI;Somewhat agree;8;;;
att_pos_1;There are many beneficial applications of AI;Strongly agree;6;;;
att_pos_1;There are many beneficial applications of AI;Somewhat disagree;2;16;;
att_pos_1;There are many beneficial applications of AI;NA's;6;;;
att_pos_2;AI systems can replace humans in repetitive tasks;Somewhat agree;11;;;
att_pos_2;AI systems can replace humans in repetitive tasks;Neither agree nor disagree;2;;;
att_pos_2;AI systems can replace humans in repetitive tasks;Somewhat disagree;1;;;
att_pos_2;AI systems can replace humans in repetitive tasks;Strongly agree;1;;;
att_pos_2;AI systems can replace humans in repetitive tasks;Strongly disagree;1;16;;
att_pos_2;AI systems can replace humans in repetitive tasks;NA's;6;;;
att_pos_3;AI systems can augment/assist humans in creative tasks;Somewhat agree;12;;;
att_pos_3;AI systems can augment/assist humans in creative tasks;Neither agree nor disagree;3;;;
att_pos_3;AI systems can augment/assist humans in creative tasks;Somewhat disagree;2;17;;
att_pos_3;AI systems can augment/assist humans in creative tasks;NA's;5;;;
att_pos_4;I think AI will be a great asset to many businesses in my domain;Somewhat agree;11;;;
att_pos_4;I think AI will be a great asset to many businesses in my domain;Somewhat disagree;3;;;
att_pos_4;I think AI will be a great asset to many businesses in my domain;Strongly agree;3;17;;
att_pos_4;I think AI will be a great asset to many businesses in my domain;NA's;5;;;
att_neg_1;The increase of AI usage threatens job security in my domain;Neither agree nor disagree;7;;;
att_neg_1;The increase of AI usage threatens job security in my domain;Somewhat agree;4;;;
att_neg_1;The increase of AI usage threatens job security in my domain;Somewhat disagree;4;;;
att_neg_1;The increase of AI usage threatens job security in my domain;Strongly agree;2;17;;
att_neg_1;The increase of AI usage threatens job security in my domain;NA's;5;;;
att_neg_2;I find AI scary;Somewhat agree;6;;;
att_neg_2;I find AI scary;Neither agree nor disagree;4;;;
att_neg_2;I find AI scary;Somewhat disagree;4;;;
att_neg_2;I find AI scary;Strongly disagree;3;17;;
att_neg_2;I find AI scary;NA's;5;;;
att_neg_3;I am concerned about AI applications mining my personal data;Somewhat agree;4;;;
att_neg_3;I am concerned about AI applications mining my personal data;Neither agree nor disagree;3;;;
att_neg_3;I am concerned about AI applications mining my personal data;Somewhat disagree;7;;;
att_neg_3;I am concerned about AI applications mining my personal data;Strongly agree;3;17;;
att_neg_3;I am concerned about AI applications mining my personal data;NA's;5;;;
acc_1;I intend to use AI to automate repetitive tasks;Somewhat agree;6;;;
acc_1;I intend to use AI to automate repetitive tasks;Neither agree nor disagree;3;;;
acc_1;I intend to use AI to automate repetitive tasks;Somewhat disagree;4;;;
acc_1;I intend to use AI to automate repetitive tasks;Strongly agree;3;;;
acc_1;I intend to use AI to automate repetitive tasks;Strongly disagree;1;17;;
acc_1;I intend to use AI to automate repetitive tasks;NA's;5;;;
acc_2;I intend to use AI to assist me with creative tasks;Somewhat agree;8;;;
acc_2;I intend to use AI to assist me with creative tasks;Neither agree nor disagree;3;;;
acc_2;I intend to use AI to assist me with creative tasks;Somewhat disagree;1;;;
acc_2;I intend to use AI to assist me with creative tasks;Strongly agree;2;;;
acc_2;I intend to use AI to assist me with creative tasks;Strongly disagree;2;16;;
acc_2;I intend to use AI to assist me with creative tasks;NA's;6;;;
acc_3;I intend to use AI in my learning activities;Somewhat agree;9;;;
acc_3;I intend to use AI in my learning activities;Somewhat disagree;4;;;
acc_3;I intend to use AI in my learning activities;Strongly agree;3;;;
acc_3;I intend to use AI in my learning activities;Strongly disagree;1;17;;
acc_3;I intend to use AI in my learning activities;NA's;5;;;
acc_4;I intend to stay informed about emerging AI technologies;Somewhat agree;7;;;
acc_4;I intend to stay informed about emerging AI technologies;Somewhat disagree;2;;;
acc_4;I intend to stay informed about emerging AI technologies;Strongly agree;3;;;
acc_4;I intend to stay informed about emerging AI technologies;Strongly disagree;1;;;
acc_4;I intend to stay informed about emerging AI technologies;Neither agree nor disagree;4;17;;
acc_4;I intend to stay informed about emerging AI technologies;NA's;5;;;
acc_5;I intend to incorporate AI into my workflow;Somewhat agree;8;;;
acc_5;I intend to incorporate AI into my workflow;Somewhat disagree;1;;;
acc_5;I intend to incorporate AI into my workflow;Strongly agree;3;;;
acc_5;I intend to incorporate AI into my workflow;Strongly disagree;1;;;
acc_5;I intend to incorporate AI into my workflow;Neither agree nor disagree;4;17;;
acc_5;I intend to incorporate AI into my workflow;NA's;5;;;
acc_6;I intend to work with AI in my future career;Somewhat agree;11;;;
acc_6;I intend to work with AI in my future career;Somewhat disagree;2;;;
acc_6;I intend to work with AI in my future career;Strongly agree;2;;;
acc_6;I intend to work with AI in my future career;Strongly disagree;2;17;;
acc_6;I intend to work with AI in my future career;NA's;5;;;
